etiquette_brute,occurrences,groupe_propose,exemples_ids
coup_de_grace_requis,1,hors_groupe:coup_grace,coeur-de-l-ennemi
courant_directionnel,1,hors_groupe:courant_directionnel,mur-de-saumure
cout_diamant_optionnel,1,hors_groupe:cout_diamant_optionnel,miracle
cout_diamant_requis,1,hors_groupe:cout_diamant,permanence
creation_acide,1,invocation_ou_creation,contact-corrosif
creation_arme_ombre,1,invocation_ou_creation|illusion_visuelle_ou_sonore|arme_ou_munition,chaine-cloutee-des-ombres
creation_armure_fantome,1,protection_defensive|invocation_ou_creation,creation-de-mort-vivant
creation_cendres,1,invocation_ou_creation,tempete-de-cendres
creation_de_creatures_ombres,1,invocation_ou_creation|illusion_visuelle_ou_sonore,convocation-d-ombres-supreme
creation_de_force,1,invocation_ou_creation,armure-instantanee
creation_de_lumiere,1,invocation_ou_creation,lumieres-dansantes
creation_de_mur,1,invocation_ou_creation,mur-de-saumure
creation_de_projectiles,1,rayon_ou_projectile|invocation_ou_creation,eruption-de-fleches
creation_distraction_sonore,1,invocation_ou_creation,broussaille-distrayante
creation_eau,1,invocation_ou_creation|terrain_ou_environnement,detremper
creation_effet_magique,1,invocation_ou_creation,souhait-limite
creation_espace_extradimensionnel,1,invocation_ou_creation,anneau-de-repli-feerique
creation_goule_bleme_momie_mohrg,1,invocation_ou_creation,creation-de-mort-vivant
creation_illusion_visuelle,1,invocation_ou_creation|illusion_visuelle_ou_sonore,hallucination-audiovisuelle
creation_illusion_visuelle_sonore,1,invocation_ou_creation|illusion_visuelle_ou_sonore,ecran
creation_mort_vivant,1,invocation_ou_creation,creation-de-mort-vivant
creation_mur_glace,1,invocation_ou_creation,glace-maudite
creation_objets_fragiles,1,invocation_ou_creation|objet_ou_equipement,prestidigitation
creation_orbes_magiques,1,invocation_ou_creation,oeil-indiscret-supreme
creation_projectile_energie,1,rayon_ou_projectile|invocation_ou_creation,fleche-de-loi
creation_sons_illusoires,1,invocation_ou_creation,son-imaginaire
creation_vase,1,invocation_ou_creation,caresse-vaseuse
creation_zone_devastation,1,zone_d_effet|invocation_ou_creation,cicatrice-magique
creatures_niveau_6,1,hors_groupe:6_creature_niveau,convocation-d-ombres-supreme
creatures_niveau_7,1,hors_groupe:6_creature_niveau,convocation-d-allies-naturels-viii
creatures_niveau_8,1,hors_groupe:6_creature_niveau,convocation-d-allies-naturels-viii
creatures_niveau_inferieur,1,hors_groupe:creature_inferieur_niveau,convocation-d-allies-naturels-viii
cumul_avec_rapidite,1,hors_groupe:avec_cumul_rapidite,embourbement
cumul_multiple_effets,1,plusieurs_cibles,thaumaturgie-associative
cône_de_feu,1,zone_d_effet,eternuement-de-feu
dard_venimeux,1,hors_groupe:dard_venimeux,dard-vengeur
debilitation_communication,1,communication_ou_langage,bredouillement
debilitation_progressive,1,hors_groupe:debilitation_progressive,orbe-du-neant
debuff_fievre,1,hors_groupe:debuff_fievre,enchevetrement-repugnant
decharge_unique,1,hors_groupe:decharge_unique,aura-d-avidite
