Dons,Src,Conditions,Avantages
Apparence enfantine,MJRA,"Cha 13, halfelin",Le personnage peut faire 10 sur les tests de Bluff pour convaincre ses interlocuteurs qu’il dit la vérité pour autant que son histoire lui donne le rôle d’un innocent. Il gagne un bonus de +2 aux tests de Déguisement pour se faire passer pour un enfant humain et il ignore les pénalités normalement imposées pour un déguisement en un individu d’une autre race et d’une autre catégorie d’âge dans ce cas-là.
Appel à la trêve,UI,"Cha 15, Persuasion, 5 rangs en Diplomatie",Appelle à une trêve pendant un combat
Appel du conjurateur,MJRA,Capacité de classe eidolon,L'eidolon gagne un bonus lorsqu'il est conjuré
Appel spirituel,AO,Capacité de classe fantôme,Le fantôme gagne un bonus lors de son invocation
Apprendre un piège de rôdeur,AM,5 rangs en Survie.,Apprend un unique piège de rôdeur
Apprentissage rapide,MR,"Int 13, humain","Quand le personnage gagne un niveau dans une classe de prédilection , il gagne +1 pv et +1 point de compétence au lieu de devoir choisir l’un ou l’autre. Il peut choisir une récompense de classe alternative à la place de l’un ou de l’autre."
Aptitude magique,MJ,—,"Le personnage gagne un bonus de +2 aux tests d’ Art de la magie et d’ Utilisation d’objets magiques . Si le personnage a 10 rangs ou plus dans l’une de ces compétences, le bonus ajouté à cette compétence augmente à +4.

Version mythique ¶ Le personnage possède une compréhension des principes et des rouages de la magie qui dépasse de loin le cadre de son apprentissage classique.

Le bonus aux tests d’ Art de la magie et d’ Utilisation d'objets magiques conféré par Aptitude magique augmente de +2. De plus, le personnage peut dépenser une utilisation de pouvoir mythique pour considérer qu’il a obtenu un 20 naturel à l’un de ces tests. Le personnage doit décider s’il utilise cette aptitude avant de lancer le dé."
Arcane supplémentaire,AM,Capacité de classe arcane de magus,Gain d'un arcane de plus
Arme à aspersion à ricochet,AM,"Dex 13, Lancer improvisé",Jet d'attaque avec une arme à aspersion si elle rate sa cible et atterrit dans l'hexagone d'une autre créature
Arme de l'Élu*,MCA,"Arme de prédilection avec l'arme du dieu, doit vénérer et recevoir des sorts d'une divinité","Par une action rapide, la première attaque du personnage avec l'arme compte comme une attaque magique"
Arme de l'Élu supérieure*,MCA,"Science de l'arme de l'Élu, Arme de prédilection avec l'arme du dieu, Arme de l'Élu, vénère et reçoit des sorts d'une divinité",Faites deux jets avec l'Arme de prédilection de votre personnage et gardez le meilleur
Arme de prédilection*,MJ,"Maniement de l'arme choisie, BBA +1","Le personnage bénéficie d’un bonus de +1 à tous ses jets d’attaque lorsqu’il utilise cette arme.

Le personnage double les bonus aux jets d’attaque conférés par Arme de prédilection et Arme de prédilection supérieure . Par une action rapide, le personnage peut dépenser une utilisation de pouvoir mythique pour gagner un bonus aux jets d’attaque avec l’arme sélectionnée égal à la moitié de son grade , jusqu’à la fin de son tour."
Arme de prédilection gnome*,MR,"BBA +1, gnome, maniement de toutes les armes de guerre","Le personnage gagne un bonus de +1 aux jets d’attaque avec les armes gnomes (toutes les armes qui comportent l’adjectif « gnome » dans leur nom).

Astuce martiale ( règles ) ¶ Le personnage peut dépenser jusqu’à 5 points d’endurance quand il réussit une attaque avec une arme gnome contre un adversaire d’une catégorie de taille de plus que lui. Il gagne alors un bonus au jet de dégâts égal au double du nombre de points d’endurance dépensés."
Arme de prédilection supérieure*,MJ,"Arme de prédilection, guerrier de niveau 8","Le personnage bénéficie d’un bonus de +1 à tous ses jets d’attaque lorsqu’il utilise l’arme choisie. Ce bonus se cumule avec tous les autres bonus aux jets d'attaque , dont celui du don Arme de prédilection ."
Arme en main*,MJ,BBA +1,Dégainer les armes est une action libre
Arme jetable,AG,"BBA +1, maniement de l'arme utilisée",Briser une arme fragile pour confirmer un coup critique
Arme naturelle supérieure,B1,"Arme naturelle, BBA +4",Augmente d'une catégorie de dé les dégâts d'une arme naturelle
Armes ardentes*,MR,Ifrit,"L’ifrit gagne un bonus de +2 à ses jets de sauvegarde contre les attaques de feu et les sorts du registre feu ou lumière. Par une action rapide, il peut rendre deux armes métalliques brûlantes pendant 1 round, infligeant 1 point de dégâts de feu supplémentaire sur une attaque réussie. Ceci ne se cumule pas avec les autres effets qui s’ajoutent aux dégâts de feu de l’arme, comme la propriété spéciale de feu.

Astuce martiale ( règles ) ¶ Quand le personnage utilise ce don pour chauffer à blanc une ou deux armes métalliques pendant 1 round , il peut dépenser 2 points d’endurance pour augmenter les dégâts de feu supplémentaire de 2 points et les cumuler avec les autres effets ajoutant des dégâts de feu à une arme (comme la propriété spéciale d’arme de feu )."
Armes immondes*,HoS,"1 rang en Connaissances (exploration souterraine, et nature)",Le personnage couvre ses armes d'immondices pour transmettre des maladies
Armure de la Fosse,MR,Tieffelin,Le tieffelin gagne un bonus d’armure naturelle de +2.
Armure de prédilection*,AMH,"BBA +1, formation au port de l'armure choisie",Augmente de 1 le bonus d'armure à la CA du type d'armure choisi
Armure de prédilection supérieure*,AMH,"Armure de prédilection, BBA +6, formation au port de l’armure choisie",Réduit de 1 le malus d'armure aux tests du type d'armure choisi
Armure naturelle supérieure,B1,"Armure naturelle, Con 13",Augmente l'armure naturelle de 1
Armure résiliente,MCA,Capacité de classe pacte divin (armure ou bouclier) ou armure sacrée,Gagne une RD contre certaines attaques
Arpenteur de pierres,ISG,"Trait racial connaissance de la pierre, suivant de Torag",Déplacement facilités sur les terrains rocheux non magiques
Arpenteur des ombres,MR,"Fetchelin, traversée des ombres comme pouvoir magique",Lance porte dimensionnelle au lieu de traversée des ombres dans les zones faiblement éclairées et dans les ténèbres
Arrachage sauvage*,ISR,"Attaque de morsure, sous-type reptilien",Effectue un arrachage sauvage après un test de lutte réussit pour mettre la cible à terre
Art du bouclier*,MJ,"Maniement des boucliers, BBA +1","Augmente le bonus de CA du bouclier de +1.

Astuce martiale ( règles ) ¶ Le personnage peut dépenser jusqu’à 2 points d’endurance quand il est victime d’une attaque alors qu’il porte un bouclier. Son bonus de bouclier à la CA augmente alors contre cette attaque d’un montant égal au nombre de points d’endurance dépensés.

Version mythique ¶ Le personnage est passé maître dans l’art de manier le bouclier pour se protéger.

Le personnage ajoute le bonus de bouclier et le bonus d’altération du bouclier à sa CA au contact. Par une action immédiate , il peut dépenser une utilisation de pouvoir mythique pour ajouter le bonus de bouclier et le bonus d’altération du bouclier à un jet de Vigueur ou de Réflexes juste avant de lancer le dé."
Art du bouclier supérieur*,MJ,"Art du bouclier, guerrier de niveau 8","Augmentez de +1 le bonus de CA accordé par n’importe quel bouclier utilisé par le personnage. Ce bonus se cumule avec le bonus octroyé par le don Art du bouclier .

Astuce martiale ( règles ) ¶ Le personnage peut dépenser jusqu’à 4 points d’endurance quand quelqu’un l’attaque alors qu’il manie un bouclier. Lors de cette attaque, son bonus de bouclier augmente d’un montant équivalent au nombre de points d’endurance dépensés. Cette augmentation ne se cumule pas avec celle conférée par l’ astuce martiale de l’Art du bouclier ."
Art du devin,MJRA,École renforcée (divination),"Le personnage gagne un bonus de +2 aux tests de NLS des divinations pour percer la résistance à la magie ou les effets qui bloquent les divinations (comme un sort d’ antidétection ). Lorsqu’il utilise un sort de divination nécessitant de la concentration, il reçoit les informations données par le sort avec 1 round d’avance (ainsi, il gagne les informations des 2 premiers rounds après 1 round de concentration, puis les informations du 3e round au bout du 2e round de concentration)."
Artisanat de groupe,MJRA,"1 rang en Artisanat (n'importe), un don de création","Le personnage peut aider un autre personnage à fabriquer des objets magiques ou non magiques. Les deux personnages doivent posséder la compétence d’ Artisanat adéquate ou le don de création correspondant, mais il suffit que chacune des autres conditions de fabrication soit satisfaite par l’un ou par l’autre. Le personnage offre un bonus de circonstances de +2 à tous les tests d’ Artisanat ou d’ Art de la magie relatifs à la fabrication d’un objet et, grâce à son aide, la quantité d’objets qu’il est possible de fabriquer en un jour (quantité exprimée en pièces d’or) est doublée."
Artiste du KO,AG,"Capacité de classe attaque sournoise, Science du combat à mains nues","Quand le personnage fait une attaque non létale à mains nues et inflige des dégâts d’attaque sournoise à un adversaire qui a perdu son bonus de Dextérité à la CA , il gagne un bonus de +1 au jet de dégâts pour chaque dé d’attaque sournoise qu’il lance.

Version mythique ¶ Les coups de poings assommants du personnage sont véritablement dévastateurs.

Lorsque le personnage effectue un coup à mains nues pour infliger des dégâts non-létaux et des dégâts d’ attaque sournoise à un adversaire, il remplace les d6 par des d8 lorsqu’il détermine les dégâts infligés par l’ attaque sournoise ."
Artiste persuasif,ISG,"Capacité de classe versatilité artistique, suivant de Shélyn",Utilise n'importe quelle forme de Représentation à la place de Diplomatie
Ascendance aquatique,MR,Ondin,Gain du trait amphibien et aumgentation de la vitesse de nage
Aspect bestial,MJRA,"Capacité de classe forme animale, voir texte",Gagner un avantage bestial parmi 4 options
Aspect draconique,MR,Kobold,Résistance 5 à un type d'énergie ou +1 à l'armure naturelle si possède déjà le trait écailles de dragon
Aspersion venimeuse*,CM,Homme-serpent,Crache d'une venin par une attaque à distance
Assaut*,MCA,"For 13, Attaque en puissance, BBA +1, capacité de classe attaque sournoise","Si c'est une attaque en puissance, la première attaque du personnage lors du round de surprise peut être une attaque sournoise"
Assaut de gnome hanté*,AG,"Cha 13, trait racial magie gnome, Gnome hanté, 3 rangs en Connaissances (Mystères)",Peut utiliser la magie gnome de façon indépendante
Assaut dimensionnel,AG,"Capacité de classe pas chassé ou capacité à lancer porte dimensionnelle, Agilité dimensionnelle",Peut utiliser porte dimensionnelle ou pas chassé lors d'une charge
Assaut élémentaire différentiel,MR,Suli,Utilise l'assaut élémentaire par tranche de 1 round
Assaut élémentaire supplémentaire,MR,Suli,L'assaut élémentaire dure 2 rounds de plus
Assaut étourdissant*,MJRA,"For 13, Attaque en puissance, BBA +16","Sacrifier du bonus d'attaque, étourdir les cibles au corps à corps"
Assaut hébétant*,MJRA,"For 13, Attaque en puissance, BBA +11","Sacrifier du bonus d'attaque, hébéter les cibles au corps à corps"
Assaut mystique,MTT,"Combat en aveugle, Science de l'initiative",Les coups critiques potentiels infligés alors que le personnage profite d'une invisibilité magique sont automatiquement confirmés
Assaut repoussant*,MJRA,"For 15, Attaque en puissance, BBA +1",Repousser un ennemi avec une arme à deux mains
Assaut sanglant*,MJRA,"For 13, Attaque en puissance, BBA +6","Sacrifier du bonus d'attaque, ajouter du saignement au corps à corps"
Assommant*,AG,—,Le personnage inflige des dégâts non létaux avec les armes contondantes
Assurance intimidante,MR,"Cha 13, Curiosité intrépide, 5 rangs en Intimidation, humain","Le personnage gagne un bonus de +1 aux jets de sauvegarde contre les effets du registre des émotions. Ce bonus se cumule avec celui de la Curiosité intrépide . Quand le personnage confirme un coup critique , il peut dépenser une action libre pour faire un test d’ Intimidation afin de démoraliser une créature qu’il menace. S’il possède le don Démonstration , il peut faire des tests d’Intimidation pour démoraliser toutes les créatures qu’il menace. Il gagne un bonus de +2 au test si son arme a une zone de critique possible de ×3 et un bonus de +4 si elle a un modificateur de ×4."
Assurer sa prise,AG,1 rang en Escalade,"Quand le personnage grimpe, il lance le dé 2 fois et prend le meilleur"
Astuce d'équitation*,MJRA,"9 rangs en Équitation, Combat monté",Réussir automatiquement les tests d'Équitation simples
Astuce ténébreuse,UI,"5 rangs en Utilisation d'Objets Magiques, capacité à lancer ténèbres",Désactive l'illumination inhérente des armes magiques
Athlétisme,MJ,—,"Le personnage obtient un bonus de +2 sur tous ses tests d’ Escalade et de Natation . Si le personnage a 10 rangs ou plus dans l’une de ces compétences, le bonus ajouté à cette compétence augmente à +4.

Version mythique ¶ Le personnage est bien supérieur aux autres en matière de prouesses physiques.

Le bonus aux tests de Natation et d’ Escalade conféré par Athlétisme augmente de +2. De plus, le personnage peut dépenser une utilisation de pouvoir mythique pour considérer qu’il a obtenu un 20 naturel à l’un de ces tests. Le personnage doit décider s’il utilise cette aptitude avant de lancer le dé."
Attaquant sournois accompli,DTT,Capacité de classe attaque sournoise,Augmente les dégâts des attaques sournoises d'1d6
Attaque à contre-courant*,D&M,"Science de l’entraînement, Science du croc-en-jambe, suivant de Gozreh",Entraîne les cibles d'un croc-en-jambe réussit par une action rapide
Attaque au galop*,MJ,Combat monté,"Monté, le personnage se déplace avant et après une charge"
Attaque de queue*,CM,"BBA +1, homme-serpent",Gain d'une attaque de queue
Attaque éclair*,MJ,"Souplesse du serpent, BBA +4",Déplacement avant et après une attaque
Attaque en finesse*,MJ,—,Applique le bonus de Dex au lieu du bonus de For aux jets d'attaque des armes légères
Attaque en groupe*,MJRA,"Int 13, Expertise du combat",Adversaire pris en tenaille si au moins deux alliés sont adjacents
Attaque en puissance*,MJ,"For 13, BBA +1",Échange le bonus d'attaque contre un bonus aux dégâts
Attaque en rotation*,MJ,"Dex 13, Expertise du combat, Esquive, Souplesse du serpent, Attaque éclair, BBA +4",Une attaque de corps à corps contre tous les ennemis à portée
Attaque en vol,B1,Vitesse de vol,Permet d'effectuer une action simple pendant une action de mouvement en vol
Attaque imprévisible supplémentaire*,DTT,Capacité de classe attaque imprévisible,Gain d'une utilisation supplémentaire d'attaque imprévisible
Attaque magique,MJRA,"Lanceur de sorts profanes, NLS 10","Sacrifier un sort, gagner une attaque de rayon"
Attaque sournoise inspirée*,DTT,Réserve d'inspiration; capacité de classe attaque sournoise ou frappe étudiée,Utilise l'inspiration pour relancer des dés d'attaque sournoise
Attaque spéciale renforcée,B1,Possède une attaque spéciale,Le DD pour résister à une attaque spéciale augmente de 2
Attaques multiples*,B1,Trois attaques naturelles ou plus,Le malus aux attaques des armes secondaires passe de -5 à -2
Attaques réflexes*,MJ,—,Attaques d'opportunité supplémentaires
Attirer rapidement*,AG,"For 13, Science de l'entraînement, Attaque en puissance, BBA +6",Le personnage peut faire une manoeuvre d'attirer au lieu d'une attaque au corps à corps
Attrait de la vie,AM,Capacité de classe canalisation d'énergie positive,Canalise l'énergie positive pour fasciner les morts-vivants
Aura ardente*,MR,"Flamme intérieure, Armes ardentes, personnage de niveau 13, ifrit",Créé une aura de feu autour du personnage après avoir utilisé Armes ardentes
Aura d'intrépidité,AM,"Capacité de classe aura de courage, NLS 8",L'aura de bravoure s'étend et accorde une immunité à la peur aux alliés du personnage
Aura de fléau des dragons,AM,"Capacité de classe aura de courage, NLS 8",L'aura de bravoure s'étend et accorde une protection contre le souffle des dragons
Aura de trépas,ISG,"Capacité de classe canalisation d’énergie, suivant d'un des Quatre Cavaliers",Canalise de l'énergie pour créer une aura qui consume la vie des créatures mourantes
Autonome,MJ,—,"Le personnage obtient un bonus de +2 sur tous ses tests de Premiers secours et de Survie . Si le personnage a 10 rangs ou plus dans l’une de ces compétences, le bonus ajouté à cette compétence augmente à +4.

Version mythique ¶ Le personnage est naturellement indépendant et il est passé maître dans l’art de subvenir seul à ses besoins.

Le bonus aux tests de Premiers secours et de Survie conféré par Autonome augmente de +2. De plus, le personnage peut dépenser une utilisation de pouvoir mythique pour considérer qu’il obtient un 20 naturel lorsqu’il effectue l’un de ces tests. Le personnage doit décider s’il utilise cette aptitude avant de lancer le dé."
Avance et frappe*,MJRA,"Dex 13, Poursuite, S'avancer, BBA +6",Suivre une créature adjacente et attaquer par une action immédiate
Avantage aquatique,CM,"Attaques réflexes, vitesse de nage naturelle",Les créatures qui n'ont pas de vitesse de nage provoquent des attaques d'opportunité lorsqu'elles attaquent le personnage
Avantage ésotérique,RSE,"3 rangs en Connaissances (mystères, exploration souterraine, folkllore local, nature, plans, religion)",Le personnage utilise ses Connaissances pour traiter les capacités d'un ennemi identifié comme si elles étaient moins puissantes
Aveuglement immonde*,HoS,Lancer improvisé,Utilise la saleté pour aveugler les adversaires
Balayage au bâton*,AM,"Int 13, Expertise du combat, Science du croc-en-jambe, Croc-en-jambe au bâton, Arme de prédilection (bâton), Spécialisation martiale (bâton), BBA +12",Utilisation du bâton pour faire un croc-en-jambe à tous les ennemis adjacents
Balayage circulaire*,CM,"For 15, Enchaînement, Science du croc-en-jambe, Arme de prédilection (grande hache), BBA +11",Utilise Enchaînement pour tenter un croc-en-jambe contre tous les adversaires à portée
Barrière divine,ISG,"Capacité de classe canalisation d'énergie, suivant d'Apsu",Canalise de l'énergie pour protéger les alliés contre certains dégâts d'énergie
Battu par les vents,CCMI,—,Ignore de nombreux effets dus au mauvais temps
Bébé féerique,CCMI,Personnage de niveau 1 uniquement,La guérison magique fonctionne mieux sur le personnage
Bec de sang*,MR,"BBA +5, trait racial arme naturelle, tengu","Augmente les dégâts de l'attaque de bec, inflige des dégâts de saignement sur un critique confirmé"
Belliciste,CM,"Cha 13, hobgobelin",Bluff et Diplomatie deviennent des compétences de classe et bénéficient d'un bonus de +4 pour convaincre des créatures de se battre
Bénédiction accélérée,MCA,"Accès au pouvoir majeur des bénédictions, capacité de classe bénédictions",Le personnage choisit une bénédiction et en dépense deux utilisations pour l'utiliser par une action rapide
Bénédiction canalisée,MCA,Capacités de classe bénédictions et canalisaiton d'énergie,Le personnage octroie une bénédiction à un allié quand il canalise l'énergie
Bénédiction de guerre,MCA,Capacité de classe domaine ou mystère,Gain d'une utilisation mineure du pouvoir de classe bénédictions
Bénédiction du Destructeur*,MR,"Demi-orque ou orque, capacité de classe rage de berserker",Récupère des rounds de rage et des points de vie en réussissant une manoeuvre de destruction
Bénédiction du Dieu du feu,MR,"demi-orque ou orque, suivant du Dieu du feu",Récupère des points de vie en infligeant des dégâts de feu à un adversaire
Beuglement terrifiant*,CM,Force intimidante,Démoralisation gratuite pendant le round de surprise
Bien préparé,MJRA,Halfelin,Le personnage possède toute une séries d'objets communs
Bienfait du croyant,MCA,"Sag 13, aligenement divergeant au maximum d'un cran de celui du dieu",Gain d'une utilisation d'un pouvoir de domaine de prêtre de niveau 1
Blessant*,CM,"For 13, Attaque en puissance",Attaque au corps à corps gratuite après un test d'Intimidation réussit
Bluff magique,AM,"5 rangs en Art de la magie, 5 rangs en Bluff","Le personnage bluffe les autres lanceurs de sorts, ce qui augmente le DD pour identifier ses sorts"
Bombe télécommandée,AM,Découverte d'alchimiste bombe à retardement,Augmente le délai des bombes et permet au personnage de les déclencher à distance
Bombes supplémentaires,MJRA,Capacité de classe bombes,Lancer deux bombes supplémentaires par jour
Bond du chat infernal*,RSE,"Discrétion du chat infernal, Talent (Discrétion), attaque sournoise +2d6",Effectue une seconde attaque lors du round de surprise
Bond griffu*,MR,"For 13, Dex 15, Frappe leste, BBA +10, homme-félin, trait racial griffes du félin ou Aspect bestial (griffes bestiales)",Attaque à outrance avec les griffes après une charge
Boucherie impitoyable*,MCA,"Coup odieux, attaque sournoise +5d6, capacité de classe cible étudiée","Par une action simple, le personnage tente un coup de grâce contre une cible étudiée qui est recroquevillée, sans défense ou étourdie"
Bouclier contre les projectiles*,MJRA,"Dex 13, Art du bouclier",Parer une attaque à distance par round avec un bouclier
Bouclier contre les rayons*,MJRA,"Dex 15, Bouclier contre les projectiles, Briseur de sorts",Parer une attaque de contact à distance par round avec un bouclier
Bouclier cornugon*,RSE,"Dex 15, Arme de prédilection (chaîne cloutée)",Manie une chaîne cloutée comme une arme et un bouclier
Bouclier magique,MJRA,"Lanceur de sorts profanes, NLS 10","Sacrifier un sort, gagner un bonus de parade à la CA"
Bouclier pour la monture*,MJRA,"Combat monté, Art du bouclier",Appliquer le bonus de bouclier à la CA de la monture
Bouclier protecteur*,MJRA,"Art du bouclier, BBA +6","En défense totale, fournir un abri à un allié"
Bouclier salvateur*,MJRA,Maniement des boucliers,Octroyer un bonus de bouclier à un allié adjacent
Bouclier vivant*,AG,"Dex 13, Science de la lutte, Science du combat à mains nues, BBA +6",Le personnage gagne un abri contre les attaques quand il est agrippé
Bousculade rapide*,AG,"For 13, Science de la bousculade, Attaque en puissance, BBA +6",peut faire une bousculade au lieu d'une attaque au corps à corps
Bousculade supérieure*,MJ,"Science de la bousculade, BBA +6",Les ennemis bousculés provoquent des attaques d'opportunité
Bousculade tourbillonnante*,AG,"Expertise du combat, Science de la bousculade, Science du croc-en-jambe, Science du combat à mains nues, Lancer ki","Utilise une action rapide pour faire une bousculade contre un adversaire, le déplacer et le faire tomber"
Boyaux d'acier,MJRA,"Con 13; nain, demi-orque, ou orque","Le personnage gagne un bonus racial de +2 aux jets de sauvegarde contre tout effet infligeant l’état préjudiciable fiévreux ou nauséeux ainsi que contre les poisons ingérés (mais pas les autres). En plus de cela, il reçoit un bonus de +2 aux tests de Survie pour trouver de la nourriture pour lui-même (et seulement lui-même)."
Bretteur amateur*,MCA,Aucun niveau dans une classe dotée de panache,Le personnage gagne une réserve de panache mineure à utiliser pour un exploit de bretteur de niveau 1 de son choix
Briser la détermination,D&M,"Capacité de classe canalisation d’énergie, suivant d'Urgathoa",Secoue les créatures blessées par la canalisation d'énergie négative
Briser la garde*,AG,"Dex 15, Int 13, Expertise du combat, Science du désarmement, Combat à deux armes",Le personnage peut attaquer son adversaire avec son arme secondaire s'il l'a désarmé avec son arme principale
Briser la mâchoire*,AG,"Science du combat à mains nues, Coup étourdissant, 6 rangs en Premiers secours",Le personnage peut endommager la bouche de son adversaire s'il réussit un Coup étourdissant
Briser la tenaille*,AG,—,"Quand le personnage frappe un ennemi, il perd son bonus de prise en tenaille contre lui"
Briser le cou*,AG,"Briser les os, Lutte supérieure, Science de la lutte, Science du combat à mains nues, Briser la mâchoire, Coup étourdissant, 12 rangs en Premiers secours",Dégâts de For ou de Dex à un adversaire immobilisé
Briser le masque mental*,AO,"Sensibilité psychique ou capacité à lancer des sorts psychiques ou des pouvoirs magiques psychiques, personnage de niveau 2",Les manifestations offensives avec un jet de Volonté révèlent la véritable forme de l'adversaire
Briser les défenses*,MJ,"Démonstration, BBA +6",Les ennemis ralentis sont pris au dépourvu
